customer_id,first_name,last_name,email,phone_number,address,city,state,country,postal_code,date_of_birth,registration_date
291738cc-92be-476d-b2bd-4df8fca7c27a,Cynthia,Gallagher,brandon08@johnson.org,001-759-720-9805x694,79250 Mcgee Cove Suite 410,Griffinport,Illinois,Bahrain,85214,1986-07-10,2021-12-18
49af50e4-e42f-4217-bc77-f5ae083b5701,Larry,Obrien,burnsdeborah@terry.com,(870)407-0874x78248,568 Jones Estate Suite 520,Nicholasbury,South Dakota,Lithuania,19088,1948-08-16,2019-08-19
ea2693af-fc46-49ba-9cb5-a19cfd21a475,Christopher,Watts,gperry@martin.info,075.590.3824x290,305 Thomas Mountain Apt. 349,New Andrew,Tennessee,Tokelau,77598,1991-01-06,2023-09-06
de96303a-8e6c-4291-86ca-6fb0fc3a42d7,Micheal,Patterson,kwhite@salinas.com,001-214-618-9153x05429,00041 Collins Roads,Maddentown,Nebraska,Lebanon,33444,1982-03-24,2024-04-02
90b69bea-ef6d-444d-ba5a-40bbe4e59637,Matthew,Mitchell,davidtravis@yahoo.com,785.622.4478,3842 Orr Prairie,Patrickside,Oregon,France,58836,1963-10-07,2019-08-27
f1be7c75-40c6-454f-8502-b8fc2bfb14ae,Stacey,Chung,fcarter@fowler.net,3169184792,966 Cesar Grove,Colleenmouth,Idaho,Dominican Republic,91502,1959-02-04,2020-05-30
9f0974a5-22e2-47d3-b834-175276e9eb06,Nathaniel,Martin,jasonmedina@gmail.com,(322)990-4365,528 Richard Pine,West Thomaschester,South Carolina,Jersey,68520,1983-06-01,2019-09-27
14b50ce5-f9db-4611-bb64-d6d44e94217f,Gina,Nielsen,fsmith@moore.biz,726.812.8083,4997 Gibbs Drives Apt. 676,West Larryshire,Kentucky,Fiji,87990,1963-08-11,2020-09-25
68ea3185-7d5e-4375-9029-8042f506e06d,Todd,Robinson,powellmonica@steele.com,771-807-5272x5917,216 Sabrina Green Apt. 246,Bennettchester,Kansas,Australia,81562,2004-01-21,2020-03-11
dc80fee5-6ba3-477a-86c1-232525e10663,Brenda,Dennis,johnwilliams@conley.info,228-419-1783,868 Eric Row Apt. 194,Lake Samuel,Kansas,Norfolk Island,78802,1990-05-08,2023-02-10
31d481b2-6bef-43ec-b2ef-6a10bf3f2f0b,Teresa,Brown,danielleellis@miller.org,001-337-874-1639x0695,65239 Frye Rapids Suite 235,South Melissa,Oklahoma,Tuvalu,29844,2003-11-28,2022-07-19
f4efd0ec-552a-4888-9ea3-02ecaf6f66b6,Mary,Burton,cameronkidd@gmail.com,+1-109-627-2635x29282,23375 Trevor Isle,Bondmouth,New Hampshire,Guam,25119,1935-11-27,2023-08-31
5b246ae8-1731-4634-a076-d90677563493,Shelia,Olsen,pmaldonado@adams.com,084.887.5952x416,120 Cassandra Ports,Susanchester,Tennessee,Palau,19469,1967-09-04,2019-10-14
8be0cdda-835d-462f-b65a-23c1515b2462,Kayla,Mcdaniel,parksamanda@yahoo.com,001-486-591-1765x91721,7290 Mcfarland Shoals Suite 348,Lake Patrick,Oregon,Dominica,59334,1970-02-15,2022-06-25
b4065607-8d52-4158-a4e5-41752db64c62,Michael,Christensen,jacobwells@jones.com,+1-366-860-2063,511 Smith Forge Suite 391,Lake Aaronville,Maine,Cape Verde,73098,2003-03-07,2019-06-21
2ff26fbc-4a85-45dd-a990-61ddbe4c5342,Amy,Butler,langkaitlyn@miller.org,(022)262-8043,64375 Jessica River,Lake Williamburgh,Hawaii,Botswana,51503,1955-06-15,2020-11-10
6d94c394-a92d-4a5f-aa58-f28074f9f135,Paige,Baker,whitemark@caldwell-cherry.com,(517)869-2679x1735,42982 Ryan Island Apt. 297,Port Duane,Iowa,Ecuador,74798,1961-12-21,2022-06-20
3e71936d-9c7a-469b-b8ee-1a8d9fcaddab,Lori,Jensen,joshuadavis@yahoo.com,690.167.1517,5132 Marcus Junction,West Lucas,North Carolina,Tanzania,50981,1959-11-07,2020-07-04
ec41a47c-3341-4a46-b259-5fd1aff4446d,Julie,Hendricks,brian31@gmail.com,470.915.1435,2343 Kristina Fields Apt. 464,North John,Illinois,Belarus,11414,1992-11-08,2021-02-25
3adfe49d-abd8-4206-8a58-01b219efbba1,Lisa,Murillo,morganlang@hotmail.com,+1-645-966-7598x475,77686 Johnny Shoals Suite 849,Sweeneybury,New Jersey,British Virgin Islands,86514,1977-08-17,2022-08-19
931a8ca5-86f6-4886-944e-05ae3270ca2d,Gerald,Hicks,vsexton@hotmail.com,703-667-0493,88873 Margaret Road,Olsonview,Pennsylvania,Bermuda,81622,1994-12-19,2023-10-10
0eb94748-d59b-4a66-805d-9481b4ab53f1,Justin,Banks,carlrobinson@yahoo.com,001-099-764-0365x88838,03762 Stout Lake Suite 619,New Kelsey,New Hampshire,Cameroon,92239,1958-07-18,2022-04-15
d137e269-0cf5-4ca8-961a-808bc12e60b2,Stephanie,Bell,ydixon@cordova.info,+1-170-555-9425x149,745 Christopher Squares,Hillside,New Hampshire,Turks and Caicos Islands,57310,1957-09-06,2023-09-19
9e79cb19-f487-4ad2-b79c-dc13f387df5f,Kaitlin,Fuentes,deniseowens@yahoo.com,050.950.0873x4098,32453 Mccormick Street Apt. 456,South Tina,Utah,Guyana,14551,1998-08-06,2023-06-28
891aaef4-1c0b-4fbb-91dd-888db7866fda,William,Kirby,traciwilliams@hotmail.com,189-043-0175x94997,4722 Patricia Road,Gouldberg,Vermont,Turks and Caicos Islands,25991,1953-10-08,2020-12-03
b869aae0-2feb-4854-bbbf-a7dcc769a03a,Paul,Mullins,wscott@yahoo.com,212-234-3148x08211,84710 Jason Harbor Apt. 125,Tammyshire,Tennessee,Netherlands Antilles,07513,1944-11-10,2021-07-23
bfde9f22-9d81-48d8-9943-071b0be2152a,Rachel,Garcia,khoward@gmail.com,736-799-3879x5211,79139 Lambert Bridge,New Brittney,West Virginia,Tunisia,32666,1946-03-23,2021-07-30
61cbe2f9-a690-4ed4-940b-e55807dbc679,Frances,Wallace,hernandezkimberly@yahoo.com,810-003-7522x6950,312 Amy Trail Suite 276,Anthonymouth,Arizona,Ghana,77303,1954-12-20,2023-07-08
6ec5435c-6c19-498a-a516-195b6c80d774,Jennifer,Hahn,johnsonbobby@williams.info,801-421-7731,310 Harris Plains,Phillipsshire,Maryland,Congo,23582,1951-10-04,2023-07-19
b01d3c18-ba2d-4434-b932-10095e8e307a,Nicole,Montes,dunntheodore@yahoo.com,(146)968-6725,1649 Wilson Extensions,Oliverstad,Oklahoma,United States of America,01861,1945-08-15,2023-11-18
7d2759e3-3d09-4427-b923-5e6ae1a8aeb4,Donna,Payne,uadams@johnson-henderson.com,756.883.1607x738,462 Carson Stream Suite 940,Katiemouth,Oregon,Swaziland,86118,1966-03-29,2019-11-03
346afdb7-4756-4ea1-b539-aa68a8a13822,Seth,Vaughn,suzanne54@yahoo.com,(474)763-7112x11678,0934 Melinda Roads,Billyton,Nevada,French Southern Territories,99682,1979-10-15,2021-08-08
d741921d-8dd9-430e-a3b2-2097ab4c78ed,Anna,Davis,maldonadologan@gmail.com,231-067-4544,27676 Mike Center,East Sherrifort,Texas,Anguilla,76974,1973-06-07,2022-01-14
adee98a2-2ab6-49a0-b318-8d3a418fa938,Jade,Novak,abailey@williams-winters.com,+1-556-707-2556x07351,905 Terrell Mount,Tranton,Oklahoma,Rwanda,15009,1960-08-11,2020-09-11
1eca8c08-4b67-48fe-9367-abfb3709c268,Karl,Wiley,joseph67@lee.com,700.160.5958x45294,17919 Fuller Parks Apt. 233,Stevestad,Maine,Latvia,15208,1971-12-04,2021-01-06
6f1d30ef-5a6a-4968-befa-30c3ebe3c1a6,Bradley,Hardin,odiaz@hotmail.com,308.165.0789,2197 Andrea Grove Apt. 363,New Gwendolynland,Idaho,Iraq,59712,1995-04-06,2023-04-15
89afd063-8e48-44fd-8973-1c893997d115,Linda,Alvarez,haneydennis@roberson.info,(390)320-7913x6466,7442 Young Valley Suite 324,Melissashire,Colorado,Syrian Arab Republic,25167,1972-10-19,2023-06-05
54f59311-d4d7-4dc3-a635-46fa2e114215,Brittney,Tapia,melaniedavenport@sullivan.com,001-216-835-6018,6907 Troy Center Apt. 609,Rogersmouth,Washington,Argentina,85448,1983-09-02,2023-01-21
6496691e-f344-47b3-98dd-4b68467cb020,Joseph,Johnson,jessicasmith@grant.info,300-706-5992,3927 Jennifer Valley,Joycestad,California,Jamaica,48263,1950-09-11,2022-08-27
b73b4d3f-3d6c-4f28-92de-7b6697b83c65,Steven,Colon,dylankane@hotmail.com,(643)325-5484,7345 Butler Divide Suite 921,East Calvin,Maryland,Bahamas,86673,1980-04-19,2020-06-20
445e0e51-4dae-48a7-ae15-f316545fcced,Jason,Carroll,aaron53@potts.info,798-709-7302x277,291 Simmons Radial,Klinemouth,Indiana,Taiwan,74290,1961-08-16,2020-07-15
5c778513-e5cc-4f7b-8e12-8683cf802087,Diane,Allen,jennifer30@yahoo.com,001-282-582-8528x605,343 Joseph Ridge,Popemouth,South Dakota,Moldova,93416,1970-10-03,2020-04-19
69b9a562-833f-427a-8f34-f5356858f002,Kristina,Mendoza,douglas73@rivas.com,+1-630-383-8801x25281,102 Anderson Station Suite 747,West Mary,Maryland,Korea,48626,1978-05-11,2019-12-09
b4637405-9616-4e1f-b82a-5097b688caa9,John,James,vcastro@williams.com,001-731-657-4358x2491,00796 Joel Port,Jonesview,Arkansas,Antarctica (the territory South of 60 deg S),88743,1998-01-26,2021-05-15
